Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_adstock_log,Google_Impressions_adstock,Google_Impressions_adstock_log,Email_Impressions_adstock,Email_Impressions_adstock_log,Affiliate_Impressions_adstock,Affiliate_Impressions_adstock_log,Paid_Views_adstock,Paid_Views_adstock_log
R,2019-03-30,393,3695,228388,247205.9595,46816,5892,2895,49263,3,13,2019,1.0,-1.6081226496766366e-16,0,0,0,0,76543.63391667012,11.245629299565028,513134.22466523375,13.148294685256289,452718.31891974993,13.02302760739698,11434.99078995858,9.344520748086735,1010.9443528274559,6.919628861010904
R,2019-04-06,1323,3781,253470,207175.3191,25289,4924,4379,43412,4,14,2019,0.992708874098054,-0.12053668025532288,0,0,0,0,63560.81695833506,11.05976820674828,510037.1123326169,13.142240731972311,433534.47855987493,12.979728913975823,10641.49539497929,9.272610265001184,1828.472176413728,7.511782776042837
R,2019-04-13,1630,3444,303121,200788.4068,39882,4968,4361,51873,4,15,2019,0.9709418174260521,-0.2393156642875575,0,0,0,0,71662.40847916753,11.179735554326829,558139.5561663085,13.232366102414952,417555.64607993746,12.942175493302836,10288.747697489645,9.238903309333097,2544.236088206864,7.841978690185849
R,2019-04-20,1486,3601,307234,217860.7821,55787,4183,5464,57532,4,16,2019,0.9350162426854148,-0.35460488704253545,0,0,1,0,91618.20423958376,11.425396181958611,586303.7780831542,13.281595032472492,426638.60513996874,12.963694919763013,9327.373848744823,9.140815985911612,2758.118044103432,7.9226663584065715
R,2019-04-27,2647,2999,244559,252964.6924,47729,4258,5049,66445,4,17,2019,0.8854560256532099,-0.4647231720437685,0,0,1,0,93538.10211979187,11.446134832343406,537710.8890415771,13.195078173473128,466283.9949699844,13.052552303359475,8921.68692437241,9.09635240492043,4026.059022051716,8.300791617325055
R,2019-05-04,2905,2832,301465,180560.557,36975,3454,5868,40478,5,18,2019,0.8229838658936565,-0.5680647467311557,0,0,0,0,83744.05105989594,11.335532356119185,570320.4445207885,13.253955418613362,413702.5544849922,12.932904944351176,7914.843462186205,8.976621531664147,4918.029511025858,8.50086653617272
R,2019-05-11,3389,4324,264436,148429.3136,47321,3473,7246,63776,5,19,2019,0.7485107481711013,-0.6631226582407951,0,0,0,0,89193.02552994798,11.398569337961138,549596.2222603943,13.21694096576614,355280.5908424961,12.780665967670709,7430.421731093103,8.913472469486539,5848.014755512929,8.674028508180983
R,2019-05-18,4419,4892,232350,174753.717,69129,3616,9181,48306,5,20,2019,0.6631226582407952,-0.7485107481711012,0,0,0,0,113725.51276497399,11.64155183430598,507148.1111301971,13.136560344126272,352394.012421248,12.77250801976934,7331.210865546551,8.900032368167778,7343.007377756465,8.90163993689629
R,2019-05-25,5268,3903,305108,170591.985,81551,3510,8882,60766,5,21,2019,0.5680647467311558,-0.8229838658936564,0,0,0,0,138413.756382487,11.838009937742807,558682.0555650985,13.233337606662822,346788.991210624,12.756474663064395,7175.605432773275,8.878581769295321,8939.503688878232,9.098347207618296
R,2019-06-01,6386,4559,297242,148702.9524,27329,3984,10147,52880,6,22,2019,0.46472317204376906,-0.8854560256532096,0,0,0,1,96535.8781912435,11.477680371745741,576583.0277825493,13.264876363113467,322097.448005312,12.682612516944788,7571.802716386637,8.932318517854993,10855.751844439117,9.292542455236648
R,2019-06-08,32503,6813,272791,138661.1964,59704,3697,39812,49570,6,23,2019,0.35460488704253584,-0.9350162426854147,0,0,0,1,107971.93909562175,11.589635910780542,561082.5138912746,13.237625039541726,299709.92040265596,12.610573690420882,7482.901358193319,8.920509506948129,37930.87592221956,10.543547090940047
R,2019-06-15,18259,7211,181016,148541.8059,64544,4324,24992,51974,6,24,2019,0.23931566428755768,-0.970941817426052,0,0,0,1,118529.96954781088,11.682929551807332,461557.2569456373,13.042363558859922,298396.76610132796,12.606182661028118,8065.450679096659,8.995468847799607,37224.43796110978,10.524747622724364
