Division,Calendar_Week,Paid_Views,Organic_Views,Google_Impressions,Email_Impressions,Facebook_Impressions,Affiliate_Impressions,Overall_Views,Sales,month,weekofyear,year,week_sin,week_cos,is_black_friday,is_christmas,is_easter,is_summer_sale,Facebook_Impressions_adstock,Facebook_Impressions_lag_1,Google_Impressions_adstock,Google_Impressions_lag_1,Email_Impressions_adstock,Email_Impressions_lag_1,Affiliate_Impressions_adstock,Affiliate_Impressions_lag_1,Paid_Views_adstock,Paid_Views_lag_1
Y,2018-01-13,460,792,604,404352.9361,9538,13417,14,66759,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,21090.831333303373,4953.0,1290.7193958440885,951.0,964345.7890023012,286675.2736,33706.04968711559,6687.0,983.3048811394583,528.0
K,2018-01-13,562,444,996,785317.8751,17391,24710,725,76530,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,27936.415666651686,9538.0,1641.3596979220442,604.0,1267490.7696011504,404352.9361,41563.024843557796,13417.0,1053.6524405697292,460.0
P,2018-01-13,785,719,815,844625.2705,16691,33545,940,96133,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,30659.207833325843,17391.0,1635.6798489610221,996.0,1478370.6553005753,785317.8751,54326.5124217789,24710.0,1311.8262202848646,562.0
G,2018-01-13,255,802,221,1214236.449,26405,44631,715,120715,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,41734.60391666292,16691.0,1038.839924480511,815.0,1953421.7766502877,844625.2705,71794.25621088945,33545.0,910.9131101424323,785.0
X,2018-01-13,405,893,205,547327.042,9528,12174,442,51275,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,30395.30195833146,26405.0,724.4199622402555,221.0,1524037.930325144,1214236.449,48071.128105444724,44631.0,860.4565550712161,255.0
D,2018-01-13,709,164,814,1241944.524,33928,47509,798,111722,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,49125.65097916573,9528.0,1176.2099811201278,205.0,2003963.489162572,547327.042,71544.56405272236,12174.0,1139.228277535608,405.0
U,2018-01-13,824,696,379,484319.036,13964,16394,971,52052,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,38526.825489582865,33928.0,967.1049905600639,814.0,1486300.780581286,1241944.524,52166.28202636118,47509.0,1393.614138767804,709.0
N,2018-01-13,710,895,558,1171081.727,23809,37789,993,115045,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,43072.412744791436,13964.0,1041.552495280032,379.0,1914232.117290643,484319.036,63872.14101318059,16394.0,1406.807069383902,824.0
C,2018-01-13,904,543,762,107819.4923,2807,3334,37,54136,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,24343.206372395718,23809.0,1282.776247640016,558.0,1064935.5509453216,1171081.727,35270.070506590295,37789.0,1607.4035346919509,710.0
L,2018-01-13,815,320,873,1297797.97,24140,143656,745,148518,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,36311.603186197855,2807.0,1514.3881238200079,762.0,1830265.7454726608,107819.4923,161291.03525329515,3334.0,1618.7017673459754,904.0
T,2018-01-13,185,33,781,190507.69,5300,6797,805,23269,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,23455.801593098928,24140.0,1538.194061910004,873.0,1105640.5627363303,1297797.97,87442.51762664758,143656.0,994.3508836729877,815.0
Z,2018-01-13,101,571,347,1358202.838,24364,37350,611,107477,1,2,2018,0.23931566428755774,0.970941817426052,0,0,0,0,36091.90079654947,5300.0,1116.097030955002,781.0,1911023.1193681653,190507.69,81071.25881332379,6797.0,598.1754418364939,185.0
I,2018-01-20,211,758,155,630645.0709,44422,41428,192,74516,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,62467.950398274734,24364.0,713.048515477501,347.0,1586156.6305840826,1358202.838,81963.6294066619,37350.0,510.08772091824693,101.0
F,2018-01-20,775,872,901,561866.3745,50896,40844,350,71165,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,82129.97519913736,44422.0,1257.5242577387505,155.0,1354944.6897920412,630645.0709,81825.81470333095,41428.0,1030.0438604591234,211.0
D,2018-01-20,408,849,683,1052980.061,113165,65788,150,111894,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,154229.98759956867,50896.0,1311.7621288693754,901.0,1730452.4058960206,561866.3745,106700.90735166548,40844.0,923.0219302295617,775.0
W,2018-01-20,323,279,72,611061.3554,40231,40252,826,62881,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,117345.99379978434,113165.0,727.8810644346877,683.0,1476287.5583480103,1052980.061,93602.45367583274,65788.0,784.5109651147809,408.0
R,2018-01-20,292,939,460,243901.2666,19376,10156,383,46866,1,3,2018,0.3546048870425356,0.9350162426854148,0,0,0,0,78048.99689989217,40231.0,823.9405322173438,72.0,982045.0457740051,611061.3554,56957.22683791637,40252.0,684.2554825573905,323.0
